,Trans_ID,Region,Product_category,Sales_date,Cust_ID,Product_ID,Product_Name,Quantity,Unit_Price,Discount,Total_Sales
0,KGsoHiqWVara,Asia,Furniture,2023-07-11,CK323129,19054,Product 1,6,61.74,0.05,351.918
1,kj2nKh14MYWB,Asia,Furniture,2023-07-03,WW030907,10037,Product 8,6,72.96,0.06,411.4943999999999
2,VeY8VHbnwMeG,Europe,Furniture,2023-05-30,DB609859,16488,Product 8,7,76.53,0.28,385.71119999999996
3,aIrplLM1ztyk,Asia,Electronics,2023-07-15,JY198747,18721,Product 9,2,87.84,0.09,159.86880000000002
4,zFxrPhjmCJDE,North America,Clothing,2023-07-20,WT728547,12870,Product 5,7,31.25,0.07,203.43749999999997
5,wUkCP1dTgMvW,Europe,Electronics,2023-04-20,LU185027,17993,Product 14,6,82.5,0.06,465.29999999999995
6,QRCTt7FpFlNw,Europe,Clothing,2023-06-04,EF539436,18258,Product 19,4,73.46,0.19,238.0104
7,rPRVDWSotC2O,North America,Automobile,2023-10-13,GT200935,12610,Product 15,10,37.97,0.05,360.71500000000003
8,47HCL1IJEFfu,North America,Clothing,2023-04-22,BM633964,15897,Product 14,2,55.32,0.2,88.512
9,RugrAL8kIbPx,Asia,Electronics,2023-02-11,GI734263,14530,Product 3,7,39.92,0.07,259.87919999999997
10,tOgG9E5XzFyT,Middle East,Electronics,2023-05-17,GF341963,12964,Product 3,9,81.15,0.09,664.6185
11,VOvC80DeKS84,Middle East,Clothing,2023-07-14,GU715442,13373,Product 10,1,32.67,0.18,26.789400000000004
12,xkEKnGNsQgsC,Middle East,Furniture,2023-03-13,IB566804,12328,Product 10,6,87.03,0.14,449.0748
13,YfpFP8A0G7Nh,Europe,Furniture,2023-02-27,TY603171,11197,Product 8,7,87.69,0.28,441.95759999999996
14,9IkE01ZoNavu,Europe,Clothing,2023-06-29,LW864857,19637,Product 18,9,40.27,0.02,355.18140000000005
15,yrrFnTpKE9qs,Middle East,Electronics,2023-10-22,BX182057,12346,Product 9,5,52.06,0.25,195.22500000000002
