,Area_Name,Crime_Year,Group_Name,Sub_Group_Name,Cases_Property_Recovered,Cases_Property_Stolen,Value_of_Property_Recovered,Value_of_Property_Stolen
0,Andaman & Nicobar Islands,2001,Burglary - Property,3. Burglary,27,64,755858,1321961
1,Andhra Pradesh,2001,Burglary - Property,3. Burglary,3321,7134,51483437,147019348
2,Arunachal Pradesh,2001,Burglary - Property,3. Burglary,66,248,825115,4931904
3,Assam,2001,Burglary - Property,3. Burglary,539,2423,3722850,21466955
4,Bihar,2001,Burglary - Property,3. Burglary,367,3231,2327135,17023937
5,Chandigarh,2001,Burglary - Property,3. Burglary,119,364,1804823,10217378
6,Chhattisgarh,2001,Burglary - Property,3. Burglary,1169,4144,6518261,30457033
7,Dadra & Nagar Haveli,2001,Burglary - Property,3. Burglary,10,34,247140,1333389
8,Daman & Diu,2001,Burglary - Property,3. Burglary,7,43,479300,2084845
9,Delhi,2001,Burglary - Property,3. Burglary,642,3029,39632177,150033824
10,Goa,2001,Burglary - Property,3. Burglary,65,347,895875,9991574
11,Gujarat,2001,Burglary - Property,3. Burglary,1124,4928,20821285,141650158
12,Haryana,2001,Burglary - Property,3. Burglary,1257,3098,27369980,64576543
13,Himachal Pradesh,2001,Burglary - Property,3. Burglary,93,812,2936881,17092490
14,Jammu & Kashmir,2001,Burglary - Property,3. Burglary,161,1345,2905184,27222163
15,Jharkhand,2001,Burglary - Property,3. Burglary,186,1150,757019,9552273
16,Karnataka,2001,Burglary - Property,3. Burglary,1768,6394,42221208,139393376
17,Kerala,2001,Burglary - Property,3. Burglary,815,4185,21414046,131614945
18,Lakshadweep,2001,Burglary - Property,3. Burglary,0,1,0,12000
19,Madhya Pradesh,2001,Burglary - Property,3. Burglary,3526,13549,31332930,118549565
20,Maharashtra,2001,Burglary - Property,3. Burglary,3595,13881,62519296,444283747
21,Manipur,2001,Burglary - Property,3. Burglary,3,75,58311,2658341
22,Meghalaya,2001,Burglary - Property,3. Burglary,50,170,324600,1354414
23,Mizoram,2001,Burglary - Property,3. Burglary,188,417,1595997,3249203
24,Nagaland,2001,Burglary - Property,3. Burglary,21,84,1413954,6922133
25,Odisha,2001,Burglary - Property,3. Burglary,1388,3061,8474685,46361453
26,Puducherry,2001,Burglary - Property,3. Burglary,34,111,549650,2857023
27,Punjab,2001,Burglary - Property,3. Burglary,721,1902,14056644,73809455
28,Rajasthan,2001,Burglary - Property,3. Burglary,1926,6867,35754908,117399424
29,Sikkim,2001,Burglary - Property,3. Burglary,16,71,217600,861706
30,Tamil Nadu,2001,Burglary - Property,3. Burglary,3227,5919,51446376,124908287
31,Tripura,2001,Burglary - Property,3. Burglary,42,198,358200,3156795
32,Uttar Pradesh,2001,Burglary - Property,3. Burglary,1081,6953,542439850,664903989
33,Uttarakhand,2001,Burglary - Property,3. Burglary,78,533,1005993,9915454
34,West Bengal,2001,Burglary - Property,3. Burglary,100,426,3066048,12787328
35,Andaman & Nicobar Islands,2002,Burglary - Property,3. Burglary,13,49,201275,491892
